Dimension,Modalites,Indicateurs,Chapitre_annuaire,Année,Valeurs
Région / Sexe / Âges,GONTOUGO / Masculin / 66 ans,Effectif de la population,Chap2.1_Population,2018,783
Région / Sexe / Âges,GONTOUGO / Masculin / 67 ans,Effectif de la population,Chap2.1_Population,2018,743
Région / Sexe / Âges,GONTOUGO / Masculin / 68 ans,Effectif de la population,Chap2.1_Population,2018,767
Région / Sexe / Âges,GONTOUGO / Masculin / 69 ans,Effectif de la population,Chap2.1_Population,2018,820
Région / Sexe / Âges,GONTOUGO / Masculin / 70 ans,Effectif de la population,Chap2.1_Population,2018,878
Région / Sexe / Âges,GONTOUGO / Masculin / 71 ans,Effectif de la population,Chap2.1_Population,2018,496
Région / Sexe / Âges,GONTOUGO / Masculin / 72 ans,Effectif de la population,Chap2.1_Population,2018,410
Région / Sexe / Âges,GONTOUGO / Masculin / 73 ans,Effectif de la population,Chap2.1_Population,2018,528
Région / Sexe / Âges,GONTOUGO / Masculin / 74 ans,Effectif de la population,Chap2.1_Population,2018,591
Région / Sexe / Âges,GONTOUGO / Masculin / 75 ans,Effectif de la population,Chap2.1_Population,2018,525
Région / Sexe / Âges,GONTOUGO / Masculin / 76 ans,Effectif de la population,Chap2.1_Population,2018,421
Région / Sexe / Âges,GONTOUGO / Masculin / 77 ans,Effectif de la population,Chap2.1_Population,2018,304
Région / Sexe / Âges,GONTOUGO / Masculin / 78 ans,Effectif de la population,Chap2.1_Population,2018,367
